topic,rank,term,weight
1,1,optimization,0.06866208
1,2,adversarial,0.061839994
1,3,optimal,0.045049064
1,4,algorithms,0.040982038
1,5,kernel,0.03310597
1,6,encoder,0.030111453
1,7,estimators,0.026335925
1,8,regularized,0.025159897
1,9,algorithm,0.018492293
1,10,detection,0.01829222
1,11,manifold,0.015506499
1,12,autoencoders,0.015289607
1,13,estimator,0.015018905
1,14,outliers,0.013781827
1,15,boosting,0.013638632
1,16,hyperparameters,0.01294633
1,17,minimax,0.012345832
1,18,adaptation,0.012026631
1,19,optimizing,0.010365472
1,20,images,0.010280874
2,1,learning,0.10249616
2,2,language,0.046092685
2,3,generative,0.04528362
2,4,deep,0.027757853
2,5,neural,0.025928378
2,6,languages,0.024318388
2,7,translation,0.022186987
2,8,text,0.021887118
2,9,multilingual,0.021472747
2,10,gradient,0.020881433
2,11,nonparametric,0.017316762
2,12,annotation,0.015283868
2,13,ensemble,0.014772614
2,14,annotated,0.01292496
2,15,annotations,0.012758792
2,16,adaptive,0.012292695
2,17,lingual,0.012219768
2,18,autoencoder,0.011955007
2,19,texts,0.011906593
2,20,memory,0.01188607
3,1,models,0.0998384
3,2,bayesian,0.07710712
3,3,stochastic,0.04719571
3,4,variational,0.04259017
3,5,sampling,0.038002945
3,6,inference,0.029945496
3,7,likelihood,0.027048346
3,8,probabilistic,0.026301086
3,9,causal,0.024436338
3,10,markov,0.022005256
3,11,posterior,0.01982812
3,12,networks,0.014077856
3,13,nodes,0.013675342
3,14,ranking,0.012559611
3,15,uncertainty,0.011620402
3,16,tree,0.011086063
3,17,complexity,0.010544762
3,18,bayes,0.008835258
3,19,trees,0.008666756
3,20,langevin,0.008505909
4,1,sparse,0.11969908
4,2,regression,0.06124859
4,3,lasso,0.05272222
4,4,linguistic,0.04626839
4,5,semantic,0.04262388
4,6,knowledge,0.031770475
4,7,forecasting,0.030940633
4,8,textual,0.029551992
4,9,syntactic,0.020522939
4,10,parsing,0.019010104
4,11,semantics,0.01856774
4,12,discovery,0.016983794
4,13,reasoning,0.016689619
4,14,sparsity,0.01651771
4,15,predictions,0.015548458
4,16,forest,0.015230046
4,17,penalized,0.014147054
4,18,compression,0.01370867
4,19,forecast,0.013218299
4,20,entropy,0.012360388
5,1,neural,0.12598687
5,2,networks,0.09621273
5,3,attention,0.09127645
5,4,corpora,0.03612111
5,5,cnn,0.035163965
5,6,convolutional,0.034532987
